시군명,경로당명,소재지지번주소,전화번호,인허가일자,운영상태,입소정원,데이터기준일자
의정부시,의정부1동경로당," 의정부시 태평로74번길 23-11, 2층 (의정부동)",031-846-9414,1985-01-26,운영,63,2025-06-25
의정부시,제일시장경로당," 의정부시 태평로73번길 20, 2층 (의정부동)",031-844-7895,1996-11-03,운영,67,2025-06-25
의정부시,금용아파트경로당," 의정부시 태평로184번길 21-4, 1층(가능동, 금용아파트)",031-841-4407,1997-02-06,운영,21,2025-06-25
의정부시,낙천경로당," 의정부시 태평로204번길 5-7, 1층(가능동)",031-848-0806,1987-01-01,운영,68,2025-06-25
의정부시,중앙경로당," 의정부시 호국로 1303, 201호(의정부동)",031-847-9674,1999-01-01,운영,60,2025-06-25
의정부시,의정부한라비발디루트아파트경로당," 의정부시 호국로 1303, 104동 1층 (의정부동, 한라비발디아파트)",031-848-6366,2012-11-19,운영,21,2025-06-25
의정부시,가재울 일신건영휴먼빌아파트경로당," 의정부시 평화로658번길 50, 101동 1층 (가능동, 가재울일신건영휴먼빌아파트)",031-821-4357,2008-07-11,운영,20,2025-06-25
의정부시,의정부3동경로당," 의정부시 경의로157번길 22, 2층(의정부동)",031-877-0533,2007-10-09,운영,29,2025-06-25
의정부시,신흥경로당, 의정부시 신흥로168번길 24 (의정부동),031-872-6412,1992-12-17,휴관,30,2025-06-25
의정부시,한울경로당," 의정부시 태평로45번길 19, 2층(의정부동) ",031-875-7922,2007-07-02,운영,32,2025-06-25
의정부시,의정부지구 황해도민회 경로당," 의정부시 태평로 33, 2층 (의정부동)",031-848-2562,2010-10-27,운영,37,2025-06-25
의정부시,의정부3동신도2·3차아파트경로당,"의정부시 경의로132번길 80 (의정부동, 신도2차아파트)",031-876-2097,1997-11-04,운영,33,2025-06-25
의정부시,의정부역센트럴자이&위브캐슬경로당,"의정부시 경의로 132 (의정부동, 의정부역센트럴자이&위브캐슬)",,2023-12-26,운영,68,2025-06-25
의정부시,의정부2동경로당, 의정부시 신흥로274번길 35 (의정부동),031-873-2152,1975-05-20,운영,25,2025-06-25
의정부시,동화아파트경로당," 의정부시 범골로 60, 1층(의정부동, 동화아파트)",031-872-1797,1996-03-30,운영,23,2025-06-25
의정부시,의정부2동북부경로당, 의정부시 가능로86번길 39-15 (의정부동),031-877-1655,1998-01-26,운영,43,2025-06-25
의정부시,종합경로당," 의정부시 신흥로207번길 51, 1층(의정부동)",031-875-5055,1992-12-23,운영,51,2025-06-25
의정부시,서부경로당, 의정부시 범골로98번길 87 (의정부동),031-826-8605,2002-07-16,운영,38,2025-06-25
의정부시,의정부일성트루엘아파트경로당,"의정부시 의정로40번길 12, 101동 지하(의정부동, 일성트루엘아파트)",,2019-02-25,운영,31,2025-06-25
의정부시,롯데캐슬골드파크2단지 경로당,"의정부시 범골로63번길 31(의정부동, 롯데캐슬골드파크2단지아파트)",,2019-12-02,운영,60,2025-06-25
의정부시,롯데캐슬골드파크1단지아파트 경로당,"의정부시 범골로63번길 13(의정부동, 롯데캐슬골드파크1단지아파트)",,2019-12-06,운영,50,2025-06-25
의정부시,의정부중앙교회경로당,의정부시 호국로1267번길 35,,2022-12-08,운영,50,2025-06-25
의정부시,장수원경로당, 의정부시 평화로 163 (호원동),031-872-4798,2003-01-09,운영,35,2025-06-25
의정부시,안말경로당, 의정부시 평화로243번길 36 (호원동),031-873-3317,1976-01-01,운영,52,2025-06-25
의정부시,다락원경로당, 의정부시 평화로37번길 6 (호원동),031-874-9518,1991-02-03,운영,54,2025-06-25
의정부시,호원건영아파트경로당 ," 의정부시 평화로168번길 12 (호원동, 건영아파트)",031-873-2447,1993-07-08,운영,50,2025-06-25
의정부시,호원우성1차아파트경로당," 의정부시 안말로85번길 10, 1층 (호원동, 우성1차아파트)",031-874-9965,1994-08-22,운영,24,2025-06-25
의정부시,호원우성2차아파트경로당," 의정부시 평화로230번길 36, 1층 (호원동, 우성2차아파트)",031-871-4185,1994-09-23,운영,21,2025-06-25
의정부시,호원우성3차아파트경로당," 의정부시 평화로322번길 52, 1층 (호원동, 우성3차아파트)",031-877-3798,1994-12-06,운영,30,2025-06-25
의정부시,"호원한주1,2차아파트경로당"," 의정부시 평화로290번길 11, 2층 (호원동, 한주아파트)",031-877-4087,1995-05-18,운영,28,2025-06-25
의정부시,호원우성5차아파트경로당," 의정부시 안말로 90, 1층 (호원동, 우성5차아파트)",031-878-2331,1995-08-21,운영,29,2025-06-25
의정부시,한주3차아파트경로당," 의정부시 평화로322번길 10, 2층 (호원동, 한주3차아파트)",031-871-2888,1996-06-19,운영,26,2025-06-25
의정부시,호원한주4차아파트경로당," 의정부시 평화로322번길 37, 1층 (호원동, 한주4차아파트)",031-872-9762,1996-07-15,운영,22,2025-06-25
의정부시,호원유원아파트경로당 ," 의정부시 평화로244번길 25, 2층 (호원동, 유원아파트)",031-878-9087,1996-10-21,운영,30,2025-06-25
의정부시,호원성호아파트경로당," 의정부시 안말로85번길 61, 1층 (호원동, 성호아파트)",031-879-9036,1999-01-01,운영,29,2025-06-25
의정부시,회룡한주아파트경로당," 의정부시 평화로 363-7, 1층 (호원동, 회룡한주5차아파트)",031-871-7436,1997-01-01,운영,23,2025-06-25
의정부시,호원신도7차아파트경로당," 의정부시 평화로 124, 1층 (호원동, 신도7차아파트)",031-825-3911,1999-01-01,운영,26,2025-06-25
의정부시,푸른마을아파트경로당," 의정부시 평화로272번길 29 (호원동, 푸른마을아파트)",031-829-2720,2000-03-23,운영,26,2025-06-25
의정부시,월드한아름아파트경로당," 의정부시 평화로202번길 15, 1층 (호원동, 월드한아름아파트)",031-824-4141,2002-03-21,운영,34,2025-06-25
의정부시,롯데아파트경로당," 의정부시 평화로 122 (호원동, 롯데아파트)",031-873-1101,2001-06-19,운영,26,2025-06-25
의정부시,호원흥화아파트경로당," 의정부시 평화로 271-10, 1층 (호원동, 흥화브라운빌아파트)",031-855-2251,2002-12-07,운영,33,2025-06-25
의정부시,신도101아파트경로당," 의정부시 평화로 271-9, 1층 (호원동, 신도아파트)",031-871-8793,2000-07-01,운영,25,2025-06-25
의정부시,호원아이파크아파트경로당," 의정부시 평화로150번길 26, 1층 (호원동, 아이파크호원동)",031-837-9495,2004-07-02,운영,39,2025-06-25
의정부시,신일유토빌플러스아파트경로당," 의정부시 평화로202번길 20, 1층 (호원동, 신일유토빌플러스아파트)",031-855-0929,2005-09-29,운영,46,2025-06-25
의정부시,호원신일엘리시움경로당," 의정부시 평화로 196, 3층(호원동, 호원신일엘리시움아파트)",031-823-3390,2010-11-02,운영,21,2025-06-25
의정부시,호원신일아파트경로당," 의정부시 평화로216번길 13, 1층 (호원동, 호원신일아파트)",031-875-4656,2013-09-11,운영,29,2025-06-25
의정부시,호원1동경로당,경기도 의정부시 호암로23번길 12(호원동),,2020-05-10,운영,35,2025-06-25
의정부시,외미경로당, 의정부시 신흥로96번길 29 (호원동),031-873-3792,1971-02-03,운영,20,2025-06-25
의정부시,범골경로당, 의정부시 범골로35번길 28 (호원동),031-872-6173,1985-12-10,운영,60,2025-06-25
의정부시,회룡경로당, 의정부시 전좌로156번길 43 (호원동),031-875-6632,1984-01-01,운영,46,2025-06-25
의정부시,호원한신1차아파트경로당," 의정부시 회룡로 111 (호원동, 호원한신1차아파트)",031-871-0600,1992-01-01,운영,34,2025-06-25
의정부시,쌍용아파트경로당," 의정부시 회룡로105번길 30, 1층 (호원동, 쌍용아파트)",031-874-3064,1994-07-02,운영,30,2025-06-25
의정부시,호원한신2차아파트경로당," 의정부시 회룡로105번길 7 (호원동, 호원한신2차아파트)",031-876-6788,1995-06-30,운영,34,2025-06-25
의정부시,호원미도아파트경로당," 의정부시 전좌로 204, 1층 (호원동, 미도아파트)",031-874-5118,1996-05-14,운영,36,2025-06-25
의정부시,호원현대아파트경로당," 의정부시 회룡로137번길 30, 1층 (호원동, 현대아파트)",031-871-9382,1996-07-22,운영,22,2025-06-25
의정부시,호원한국개나리아파트경로당," 의정부시 전좌로156번길 19, 1층 (호원동, 한국개나리아파트)",031-874-2755,1997-06-20,운영,34,2025-06-25
의정부시,호원우남1차아파트경로당," 의정부시 회룡로138번길 18, 2층 (호원동, 우남1차아파트)",031-829-2593,1997-06-13,운영,32,2025-06-25
의정부시,호원신원아파트경로당 ," 의정부시 회룡로105번길 37, 1층 (호원동, 신원아파트)",031-876-1827,1998-03-11,운영,21,2025-06-25
의정부시,호원가든1차아파트경로당," 의정부시 호동로 56, 1층 (호운동, 호원가든1차아파트)",031-829-3379,1998-03-31,운영,37,2025-06-25
의정부시,호원신도6차아파트경로당," 의정부시 범골로29번길 34, 2층(호원동, 신도6차아파트)",031-829-3356,1999-01-01,운영,54,2025-06-25
의정부시,하늘빛아파트경로당," 의정부시 범골로35번길 7, 1층(호원동, 하늘빛아파트)",031-876-2590,1998-05-28,운영,22,2025-06-25
의정부시,두산아파트경로당," 의정부시 백석로 62 (호원동, 두산아파트)",031-829-2499,1998-07-08,운영,34,2025-06-25
의정부시,호원삼익아파트경로당," 의정부시 백석로 33, 1층 (호원동, 삼익아파트)",031-823-2775,1998-01-01,운영,42,2025-06-25
의정부시,한승아파트경로당," 의정부시 평화로 374, 1층 (호원동, 한승아파트)",031-829-2916,1998-05-21,운영,25,2025-06-25
의정부시,호원가든2차아파트경로당," 의정부시 호동로 72 (호원동, 호원가든2차아파트)",031-826-3474,1999-01-01,운영,28,2025-06-25
의정부시,호원가든3차아파트경로당," 의정부시 범골로 23, 1층(호원동, 호원가든3차아파트)",031-871-4475,1999-01-01,운영,41,2025-06-25
의정부시,호동경로당, 의정부시 회룡로117번길 103 (호원동),031-826-3714,2000-11-25,운영,36,2025-06-25
의정부시,신일유토빌아파트경로당," 의정부시 호암로 236-1 (호원동, 신일유토빌아파트)",031-823-8853,1993-09-02,운영,54,2025-06-25
의정부시,호원한주5차아파트경로당," 의정부시 회룡로138번길 12, 2층 (호원동, 한주5차아파트)",031-877-2473,1997-06-30,운영,27,2025-06-25
의정부시,호원풍림아파트경로당," 의정부시 백석로 30, 1층 (호원동, 풍림아파트)",031-836-8005,2005-04-15,운영,29,2025-06-25
의정부시,회룡역풍림아이원아파트경로당," 의정부시 외미로 64 (호원동, 회룡역풍임아이원아파트)",031-838-2900,2007-10-31,운영,31,2025-06-25
의정부시,한승미메이드아파트경로당," 의정부시 신흥로 57-14, 1층 (호원동, 호원동한승미메이드아파트)",031-826-3556,2007-12-11,운영,27,2025-06-25
의정부시,신일유토빌시니어경로당,의정부시 호암로 256 (호원동),,2023-06-05,운영,91,2025-06-25
의정부시,장암경로당, 의정부시 동일로122번길 3 (장암동),031-872-6577,1992-04-01,운영,41,2025-06-25
의정부시,동막경로당," 의정부시 회룡로192번길 38, 3층 (장암동) - 임시(3년)",031-877-0832,1994-04-08,운영,52,2025-06-25
의정부시,장암주공2단지아파트경로당," 의정부시 동일로 397, 1층 (장암동, 장암2단지주공아파트)",031-875-9177,1993-09-04,운영,23,2025-06-25
의정부시,장암우성아파트경로당," 의정부시 동일로 400, 1층 (장암동, 장암우성아파트)",031-874-7737,1993-11-01,운영,26,2025-06-25
의정부시,장암주공1단지아파트경로당," 의정부시 회룡로192번길 11 (장암동, 장암1단지주공아파트)",031-876-0938,1995-03-07,운영,65,2025-06-25
의정부시,장암동아아파트경로당," 의정부시 장곡로 240, 2층 (장암동, 장암동아아파트)",031-879-0080,1998-12-09,운영,32,2025-06-25
의정부시,장암주공7단지아파트경로당," 의정부시  회룡로 254, 2층 (장암동, 주공아파트7단지)",031-976-0994,1998-09-02,운영,33,2025-06-25
의정부시,장암대우푸르지오아파트경로당," 의정부시 장곡로226번길 52, 1층 (장암동, 장암푸르지오아파트)",031-827-3827,2005-06-17,운영,25,2025-06-25
의정부시,장암삼환아파트경로당," 의정부시 동일로416번길 31, 1층 (장암동, 장암삼환나우빌아파트)",031-826-4124,2008-09-01,운영,24,2025-06-25
의정부시,수락리버시티1단지경로당," 의정부시 누원로 51 (장암동, 수락리버시티1단지아파트)",031-02-930-0854,2010-07-27,운영,55,2025-06-25
의정부시,수락리버시티2단지경로당," 의정부시 누원로 52 (장암동, 수락리버시티2단지아파트)",031-02-939-1199,2010-08-26,운영,24,2025-06-25
의정부시,신곡1동경로당, 의정부시 경의로177번길 37-3 (신곡동),031-848-1248,1991-01-03,운영,57,2025-06-25
의정부시,발곡경로당, 의정부시 동일로454번길 59-3 (신곡동),031-841-2765,1992-05-08,운영,53,2025-06-25
의정부시,성원아파트경로당," 의정부시 시민로 333, 1층 (신곡동, 성원아파트)",031-841-7102,1994-08-22,운영,27,2025-06-25
의정부시,신곡현대1차아파트경로당," 의정부시 시민로 321 (신곡동, 현대아파트)",031-840-8580,1995-05-17,운영,32,2025-06-25
의정부시,신일아파트경로당," 의정부시 시민로245번길 14, 1층 (신곡동, 신일1차아파트)",031-842-3713,1998-03-09,운영,24,2025-06-25
의정부시,서해아파트경로당," 의정부시 동일로466번길 3, 1층 (신곡동, 서해아파트)",031-842-5859,1998-10-02,운영,37,2025-06-25
의정부시,삼익한일아파트경로당," 의정부시 신곡로 36, 1층 (신곡동, 삼익아파트)",031-876-2465,1998-11-26,운영,38,2025-06-25
의정부시,신곡현대2차아파트경로당," 의정부시 신곡로 13, 1층 (신곡동, 현대2차아파트)",031-878-4116,1999-01-01,운영,22,2025-06-25
의정부시,동신현대3차아파트경로당," 의정부시 신곡로 35, 1층 (신곡동, 동신아파트)",031-872-3457,1999-03-31,운영,22,2025-06-25
의정부시,신곡주공5단지아파트경로당," 의정부시 회룡로 221, 2층 (신곡동, 주공아파트5단지)",031-874-3495,1999-01-01,운영,22,2025-06-25
의정부시,풍림한국아파트경로당," 의정부시 회룡로 245, 1층 (신곡동, 한국아파트)",031-829-1570,2000-06-01,운영,27,2025-06-25
의정부시,신곡대우아파트경로당," 의정부시 시민로317번길 29 (신곡동, 대우아파트)",031-841-5677,2000-03-31,운영,21,2025-06-25
의정부시,청춘경로당(장암현대1차) ," 의정부시 동일로 451-25 (신곡동, 현대1차아파트)",031-829-0775,2004-07-22,운영,25,2025-06-25
의정부시,신동아파밀리에아파트경로당," 의정부시 시민로179번길 38, 1층 (신곡동, 신동아파밀리에아파트)",031-824-3229,2005-07-12,운영,25,2025-06-25
의정부시,신곡한일유앤아이아파트경로당," 의정부시 시민로 258, 2층 (신곡동, 한일유앤아이아파트)",031-848-0546,2006-07-14,운영,25,2025-06-25
의정부시,극동스타클래스아파트경로당," 의정부시 시민로317번길 15, 1층 (신곡동, 극동스타클래스아파트)",031-848-2722,2006-10-30,운영,21,2025-06-25
의정부시,신곡 신일2차아파트경로당," 의정부시 시민로 253, 1층 (신곡동, 신일2차아파트)",031-843-0281,2009-03-11,운영,23,2025-06-25
의정부시,현진에버빌아파트경로당," 의정부시 시민로179번길 47, 1층(신곡동, 현진에버빌아파트)",031-846-1343,2012-07-06,운영,21,2025-06-25
의정부시,가래울경로당," 의정부시 시민로254번길 38, 1층(신곡동)",031-070-8954-1236,2012-05-14,운영,30,2025-06-25
의정부시,둔배미마을경로당, 의정부시 둔배미남길 31(신곡동),031-840-1110,2015-11-06,운영,56,2025-06-25
의정부시,청룡경로당,"의정부시 발곡로31번길 23-12, 1층(신곡동)",,2020-05-07,운영,36,2025-06-25
의정부시,이편한세상신곡파크비스타경로당,의정부시 시민로 287(신곡동),,2020-01-03,운영,30,2025-06-25
의정부시,신촌경로당, 의정부시 금신로296번길 27(신곡동),,1991-01-05,운영,32,2025-06-25
의정부시,동신아파트경로당," 의정부시 장금로 13 (신곡동, 동신아파트)",031-856-6923,1994-04-22,운영,25,2025-06-25
의정부시,삼도세라믹아파트경로당," 의정부시 장금로 54, 1층 (신곡동, 삼도아파트)",031-843-8951,1994-04-22,운영,28,2025-06-25
의정부시,삼환아파트경로당," 의정부시 추동로 32, 1층 (신곡동, 삼환아파트)",031-848-2728,1994-10-27,휴관,22,2025-06-25
의정부시,은하수아파트경로당," 의정부시 추동로 12, 1층 (신곡동, 은하수아파트)",031-843-7072,1994-12-30,운영,26,2025-06-25
의정부시,효자벽산아파트경로당," 의정부시 장금로78번길 41 (신곡동, 신곡벽산아파트)",031-840-8448,1995-04-27,운영,21,2025-06-25
의정부시,삼부아파트경로당," 의정부시 장금로 30, 1층 (신곡동, 삼부아파트)",031-845-4938,1995-05-31,운영,33,2025-06-25
의정부시,추동아파트경로당," 의정부시 능곡로 13, 1층 (신곡동, 추동아파트)",031-843-0504,1995-12-13,운영,24,2025-06-25
의정부시,극동동성아파트경로당," 의정부시 추동로 45, 1층 (신곡동, 극동아파트)",031-842-8608,1996-01-15,운영,29,2025-06-25
의정부시,신곡성원2차아파트경로당," 의정부시 능곡로 16-7 (신곡동, 신곡성원2차아파트)",031-824-8356,1998-08-18,운영,24,2025-06-25
의정부시,신곡건영아파트경로당," 의정부시 능곡로26번길 40, 101동 1층 (신곡동, 건영아파트)",031-843-1387,1999-01-01,운영,24,2025-06-25
의정부시,신곡주공4단지아파트경로당," 의정부시 능곡로 8, 2층 (신곡동, 주공아파트)",031-821-0270,2002-07-12,운영,29,2025-06-25
의정부시,신곡신명아파트경로당," 의정부시 능곡로 70, 1층 (신곡동, 신명아파트)",031-824-3805,2001-11-03,운영,23,2025-06-25
의정부시,금오주공9단지아파트경로당," 의정부시 부용로 226 (신곡동, 금오주공9단지아파트)",031-823-7266,2003-04-02,운영,46,2025-06-25
의정부시,신곡2동 드림밸리아파트경로당," 의정부시 장곡로 574, 1층 (신곡동, 드림밸리아파트)",031-827-3210,2003-09-23,운영,57,2025-06-25
의정부시,삼성래미안진흥아파트경로당," 의정부시 장곡로628번길 27 (신곡동, 진흥아파트)",031-824-5251,2004-01-22,운영,24,2025-06-25
의정부시,상록아이파크아파트경로당," 의정부시 부용로 174 (신곡동, 상록아이파크아파트)",031-825-5008,2003-10-31,운영,55,2025-06-25
의정부시,부용아파트경로당," 의정부시 장곡로 442 (신곡동, 부용아파트)",031-846-9498,2003-12-17,운영,26,2025-06-25
의정부시,금오4단지주공아파트경로당," 의정부시 장곡로 514 (신곡동, 금오주공그린빌4단지아파트)",031-853-4839,2004-02-18,운영,21,2025-06-25
의정부시,신곡풍림아이원아파트경로당," 의정부시 추동로91번길 15 (신곡동, 풍림아이원아파트)",031-853-7333,2005-12-29,운영,22,2025-06-25
의정부시,신곡주공3단지아파트경로당," 의정부시 금신로296번길 40 (신곡동, 신곡주공3단지아파트)",031-843-2091,2006-09-13,운영,23,2025-06-25
의정부시,신곡신명스카이뷰아파트경로당," 의정부시 추동로108번길 113 (신곡동, 신곡신명스카이뷰아파트)",031-838-2066,2007-07-02,운영,15,2025-06-25
의정부시,동오마을 경로당, 의정부시 장곡로 476 (신곡동),031-842-8898,2009-01-20,운영,32,2025-06-25
의정부시,이편한세상신곡포레스타뷰아파트경로당, 의정부시 금신로 276 (신곡동),,2022-07-15,운영,45,2025-06-25
의정부시,신성벽산아파트경로당,의정부시 능곡로 69 (신곡동),,2024-04-09,운영,25,2025-06-25
의정부시,구성경로당, 의정부시 고산로 195 (고산동),031-841-7294,1989-04-28,운영,34,2025-06-25
의정부시,고산경로당, 의정부시 송산로989번길 38 (고산동),031-841-6686,1989-04-28,운영,27,2025-06-25
의정부시,흑석경로당, 의정부시 송산로939번길 61-10 (산곡동),031-841-6269,1989-04-28,운영,52,2025-06-25
의정부시,송산동(만가대)경로당, 의정부시 송산로1181번길 76 (용현동),031-848-1242,1989-04-28,운영,49,2025-06-25
의정부시,보광아파트경로당," 의정부시 시민로387번길 5 (용현동, 보광아파트)",031-844-3621,1991-08-02,운영,27,2025-06-25
의정부시,세아1차아파트경로당," 의정부시 시민로387번길 54 (용현동, 세아1차아파트)",031-821-5197,1991-11-21,운영,43,2025-06-25
의정부시,용현현대1차아파트경로당," 의정부시 오목로 36 (용현동, 현대1차아파트)",031-842-0938,1992-12-30,운영,31,2025-06-25
의정부시,용현현대2차아파트경로당," 의정부시 오목로 1 (용현동, 현대2차아파트)",031-840-9009,1998-07-20,운영,30,2025-06-25
의정부시,세아2차아파트경로당," 의정부시 용민로7번길 17 (용현동, 세아2차아파트)",031-851-9709,1997-09-19,운영,30,2025-06-25
의정부시,그랜드아파트경로당," 의정부시 오목로35번길 10 (용현동, 그랜드아파트)",031-851-4246,1998-10-19,운영,20,2025-06-25
의정부시,용현건영아파트경로당," 의정부시 용민로7번길 50 (용현동, 용현건영아파트)",031-851-3136,1999-01-30,운영,42,2025-06-25
의정부시,용현신도10차아파트경로당," 의정부시 용현로 40 (용현동, 신도10차아파트) ",031-825-0202,2002-03-21,운영,61,2025-06-25
의정부시,송산주공1단지아파트경로당," 의정부시 부용로 233 (용현동, 송산주공1차아파트)",031-827-7897,2002-12-11,운영,30,2025-06-25
의정부시,정원경로당(정자마을), 의정부시 고산로65번길 26-4 (고산동),031-821-9981,2003-02-28,운영,24,2025-06-25
의정부시,용현신도브래뉴아파트경로당," 의정부시 용현로 72 (용현동, 신도브래뉴아파트)",031-825-0086,2006-07-31,운영,23,2025-06-25
의정부시,용현11차신도브래뉴아파트경로당," 의정부시 용민로21번길 63 (용현동, 용현11차신도브래뉴아파트)",031-838-0326,2007-07-02,운영,28,2025-06-25
의정부시,용현건영캐스빌아파트경로당," 의정부시 용민로7번길 89 (용현동, 용현건영캐스빌아파트)",031-852-3020,2007-08-21,운영,20,2025-06-25
의정부시,방아다리경로당, 의정부시 용민로21번길 45 (용현동),031-851-3652,2008-12-18,운영,31,2025-06-25
의정부시,동문아파트경로당," 의정부시 오목로4번길 5, 1층 (용현동, 동문아파트)",031-843-0099,2013-07-23,운영,22,2025-06-25
의정부시,우영경로당,의정부시 오목로14번길 19-5(용현동),,2018-10-11,운영,31,2025-06-25
의정부시,고산센트레빌5단지아파트경로당,"의정부시 서광로 166, 1층(산곡동, 고산센트레빌)",,2021-10-08,운영,31,2025-06-25
의정부시,한신더휴고산1단지경로당,의정부시 입암로 13(고산동),,2022-06-07,운영,26,2025-06-25
의정부시,정음마을고산1단지경로당,의정부시 입암로 14(고산동),,2022-06-30,운영,33,2025-06-25
의정부시,고산2단지아파트경로당,의정부시 정음로 15(고산동),,2022-06-07,운영,67,2025-06-25
의정부시,고산대방노블랜드아파트경로당,의정부시 서광로 210(고산동),,2022-07-15,운영,24,2025-06-25
의정부시,쌍용더플래티넘4단지경로당,의정부시 서광로 187(고산동),,2022-10-18,운영,52,2025-06-25
의정부시,탑석센트럴자이아파트경로당,의정부시 용민로 10(용현동),,2022-11-07,운영,125,2025-06-25
의정부시,고산대광아파트경로당,의정부시 서광로 169 (산곡동),,2023-03-17,운영,34,2025-06-25
의정부시,고산리슈빌포레경로당,의정부시 훈민로 13 (고산동),,2023-07-13,운영,21,2025-06-25
의정부시,고산수자인디에스티지경로당,의정부시 수암로 25 (산곡동),,2024-03-06,운영,29,2025-06-25
의정부시,오목경로당, 의정부시 오목로122번길 13 (민락동),031-851-6440,1989-04-28,운영,20,2025-06-25
의정부시,민락주공2단지아파트경로당," 의정부시 오목로 150 (민락동, 주공2단지아파트)",031-851-3123,2000-03-29,운영,24,2025-06-25
의정부시,산들마을4단지아파트경로당," 의정부시 오목로 168 (민락동, 산들마을4단지아파트)",031-852-0042,2000-01-01,운영,24,2025-06-25
의정부시,산들마을1단지아파트경로당," 의정부시 용현로 143 (민락동, 산들마을1단지아파트)",031-852-2581,2000-03-23,운영,53,2025-06-25
