시설명,소재지도로명주소,서비스내용,전화번호
울산광역시남구발달장애인평생교육센터,"울산광역시 남구 중앙로 311, 3,4층 (신정동)",기타복지시설,052-276-6600
울산남구중증장애인자립생활지원센터,"울산광역시 남구 남산로 320, 2층 (신정동)",기타복지시설,052-271-1200
울산광역시지적장애인자립지원센터,"울산광역시 남구 신남로 69-1, 2층 (신정동)",기타복지시설,052-276-1510
울산광역시노숙인자활지원센터(희망사랑방),"울산광역시 남구 봉월로 87, 2층 (신정동, 부영빌딩)",노숙인복지시설,052-247-8323
열린문교회노인교실,울산광역시 남구 삼산동 1509-17 ,노인여가복지시설,052-267-2897
향주노인대학,울산광역시 남구 신복로46번길 35-8 (무거동),노인여가복지시설,052-277-1644
울산실버건강대학,"울산광역시 남구 테크노산업로44번길 39-3, 1층 (두왕동)",노인여가복지시설,052-266-7654
도산노인복지관,울산광역시 남구 대암로129번길 4 (야음동),노인여가복지시설,052-265-5221
문수실버복지관,울산광역시 남구 대학로1번길 3-51 (무거동),노인여가복지시설,052-247-3740
울산광역시노인복지관,울산광역시 남구 삼산중로 136 (삼산동),노인여가복지시설,052-256-6820
선암호수노인복지관,울산광역시 남구 선암호수길 150 (선암동),노인여가복지시설,052-268-6080
라파노인요양센터,울산광역시 남구 거마로117번길 49 (신정동),노인의료복지시설,052-227-7220
다온 실버홈,울산광역시 남구 돋질로140번길 15 (달동),노인의료복지시설,052-260-1370
가온노인요양원,울산광역시 남구 산업로303번길 29 (선암동),노인의료복지시설,052-268-2056
울산요양원,울산광역시 남구 두왕로322번길 6-10 (신정동),노인의료복지시설,052-277-9000
느티나무노인요양원,울산광역시 남구 중앙로 287 (신정동),노인의료복지시설,052-258-5174
행복사랑요양원,울산광역시 남구 번영로 178-1 (달동),노인의료복지시설,052-261-5055
울산남구시니어클럽,"울산광역시 남구 두왕로 337, 1층 (신정동, 공업탑 빌딩)",노인일자리지원기관,052-258-6789
울산남구가족센터,울산광역시 남구 여천로12번길 해피투게더타운 지하1 층,다문화가족복지시설,052-274-3136
울산광역시 남구 다함께돌봄센터(대현다함께돌봄센터),"울산광역시 남구 대암로90번길 34, 2층 (야음동)",다함께돌봄센터,052-984-0098
울산광역시 남구 이진다함께돌봄센터,"울산광역시 남구 도산로 9, 102동 104호 (달동)",다함께돌봄센터,052-257-3384
울산광역시 남구 삼호다함께돌봄센터,"울산광역시 남구 삼호로149번길 22 (무거동, 와와커뮤니티센터 1층)",다함께돌봄센터,052-225-3005
울산광역시 가정위탁지원센터,"울산광역시 남구 중앙로 216, 4층 (신정동)",아동복지시설,052-286-4678
요셉의 집,"울산광역시 남구 대암로 82, 202동 202호 (야음동)",아동복지시설,052-266-0920
행복하우스,"울산광역시 남구 문수로 355번길 51, 101동 402호",아동복지시설,052-257-3800
일곱 빛 공동생활가정,"울산광역시 남구 어은로18번길 4-1, 1층 (무거동)",아동복지시설,052-261-0010
바른마음 공동생활가정,"울산광역시 남구 두왕로272번길 17-27, 301호 (신정동, 삼미타워맨숀)",아동복지시설,708-840-0205
울산남부아동보호전문기관,울산광역시 남구 돋질로355번길 23 (삼산동),아동복지시설,052-256-1391
선암지역아동센터,울산광역시 남구 수암로222번길 10-1,아동복지시설,052-261-2823
마이코즈지역아동센터,울산광역시 남구 삼산중로131번길 38-22,아동복지시설,052-267-1365
행복지역아동센터,울산광역시 남구 수암로 83-2 (신정동),아동복지시설,052-257-2823
울산남구종합사회복지관 지역아동센터,울산광역시 남구 번영로107번길 13 (달동),아동복지시설,052-266-9460
우리지역아동센터,울산광역시 남구 장검1길 21-44 (무거동),아동복지시설,052-900-4455
해봄지역아동센터,"울산광역시 남구 돋질로 126, 3층 (달동)",아동복지시설,052-268-2823
솔로몬지역아동센터,"울산광역시 남구 수암로 325, 2층 202호 (야음동)",아동복지시설,052-268-6881
징검다리지역아동센터,울산광역시 남구 수암로189번길 11 (야음동),아동복지시설,052-227-8079
동평지역아동센터,울산광역시 남구 도산로 121,아동복지시설,052-271-2078
라온지역아동센터,"울산광역시 남구 삼호로 17, 2층 (무거동)",아동복지시설,052-221-2823
반올림지역아동센터,"울산광역시 남구 어은로8번길 3, 2층 (무거동)",아동복지시설,052-247-5038
공립형 꿈드림지역아동센터,울산광역시 남구 중앙로242번길 18-2,아동복지시설,052-716-3025
울산남구종합사회복지관,울산광역시 남구 번영로107번길 13 (달동),일반사회복지시설,052-260-2981
울산남구지역자활센터,울산광역시 남구 여천로12번길 지하2 층,자활시설,052-227-0991
울산광역시시각장애인공동생활가정,"울산광역시 남구 거마로118번길 8, 가동 301호 (신정동,남운빌라)",장애인거주시설,052-266-5677
행복둥지 장애인공동생활가정,"울산광역시 남구 봉월로60번길 23, 401호 (신정동, 누리원룸)",장애인거주시설,052-276-0740
행복의집 장애인공동생활가정,"울산광역시 남구 두왕로48번길 18, 101동 B104호 (상개동,상개목화아파트)",장애인거주시설,052-260-7179
참세상단기보호센터,울산광역시 남구 번영로201번길 9 (신정동),장애인거주시설,052-266-9969
해울이거주시설,울산광역시 남구 화합로31번길 36 호,장애인거주시설,052-258-8100
울산광역시시각장애인복지관,울산광역시 남구 돋질로114번길 3 (달동),장애인지역사회재활시설,052-256-5244
울산광역시장애인생활이동지원센터,"울산광역시 남구 중앙로 151 (신정동,성수빌딩 2층)",장애인지역사회재활시설,052-266-5677
울산남구발달장애인공공치료센터,"울산광역시 남구 월평로 9, 4층 (신정동)",장애인지역사회재활시설,052-227-1991
울산광역시시각장애인주간보호센터,울산광역시 남구 돋질로114번길 3 (달동),장애인지역사회재활시설,052-266-5685
연꽃아이들장애인주간보호시설,울산광역시 남구 삼산로46번길 11-19 (신정동),장애인지역사회재활시설,052-268-6702
울산광역시신장장애인주간보호센터,"울산광역시 남구 중앙로 274 (신정동,단성빌딩 1층)",장애인지역사회재활시설,052-271-7272
울산남구종합사회복지관 부설 장애인주간보호센터,울산광역시 남구 달동 119-1 ,장애인지역사회재활시설,052-266-9969
푸른울타리장애인주간보호시설,"울산광역시 남구 봉월로70번길 58, 2층 (신정동)",장애인지역사회재활시설,052-276-1512
보강장애인주간보호시설,"울산광역시 남구 두왕로48번길 15, 1층 (선암동, 선암동 선암1지구토지구획정리지구 23 2-1)",장애인지역사회재활시설,052-265-8522
한마음주간보호센터,울산광역시 남구 중앙로128번길 35 (달동),장애인지역사회재활시설,052-258-1970
울산무거복지센터,울산광역시 남구 무거동 1535-1 무거한라아파트 상가 201호 ,장애인지역사회재활시설,052-277-7472
사랑의집장애인주간보호시설,"울산광역시 남구 달삼로84번길 28-1 (달동, 유일원룸)",장애인지역사회재활시설,052-273-7991
한우리장애인주간보호시설,울산광역시 남구 삼산로181번길 40 (달동),장애인지역사회재활시설,052-258-2338
무지개장애인주간보호시설,"울산광역시 남구 신남로 69-1, 2층 (신정동)",장애인지역사회재활시설,052-276-1731
가람장애인주간보호센터,"울산광역시 남구 수암로 279-10, 1층 (야음동)",장애인지역사회재활시설,052-272-5265
해울이주간보호센터,"울산광역시 남구 삼산로67번길 30, 3층 (달동)",장애인지역사회재활시설,052-266-0520
사랑나눔장애인주간보호센터,"울산광역시 남구 월평로 160, 2층 (신정동)",장애인지역사회재활시설,052-271-4175
울산장애인주간보호센터,"울산광역시 남구 중앙로258번길 11, 2층 (신정동)",장애인지역사회재활시설,052-917-9292
장애인주간보호센터 '별',"울산광역시 남구 월평로 9, 5층 (신정동, 대교메디컬)",장애인지역사회재활시설,052-242-0078
울산광역시장애인체육관,울산광역시 남구 삼산중로146번길 10 (삼산동),장애인지역사회재활시설,052-269-4842
울산광역시점자도서관,"울산광역시 남구 중앙로 151, 2층 (신정동)",장애인지역사회재활시설,052-256-3308
상개장애인보호작업장,울산광역시 남구 상개로 202-21 (상개동),장애인직업재활시설,052-267-7033
신정장애인보호작업장,울산광역시 남구 삼산중로131번길 26-1 (삼산동),장애인직업재활시설,052-271-4450
울산안마수련원,"울산광역시 남구 두왕로 335, 2층 (신정동)",장애인직업재활시설,052-268-5677
남구재가노인지원서비스센터,"울산광역시 남구 번영로107번길 17, 상가동 201호 (달동, 달동주공3단지 상가동)",재가노인복지시설,052-266-9469
디딤돌재가노인지원서비스센터,"울산광역시 남구 중앙로 274, 4~5층 (신정동)",재가노인복지시설,052-275-7064
섬김재가노인지원서비스센터,"울산광역시 남구 봉월로 149, 3층 (신정동)",재가노인복지시설,052-256-1389
연화e재가노인지원서비스센터,"울산광역시 남구 눌재로8번길 34, 101호 (무거동)",재가노인복지시설,052-221-0388
동평재가노인지원서비스센터,"울산광역시 남구 처용로26번길 23, 1층 (야음동)",재가노인복지시설,052-269-4994
삼산노인복지센터,"울산광역시 남구 왕생로144번길 16, 1층 (삼산동)",재가노인복지시설,052-911-0015
사랑방실버스쿨주야간보호,"울산광역시 남구 문수로 296, 4층 (옥동)",재가노인복지시설,052-236-4200
좋은돌봄재가복지센터,"울산광역시 남구 번영로 165, 227호 (달동, 번영로 코아루 더 클래식)",재가노인복지시설,052-201-0025
지혜마을노인복지원,"울산광역시 남구 봉월로 117, 202호 (신정동)",재가노인복지시설,052-949-7487
도우누리공동체 노인복지센터,"울산광역시 남구 중앙로 311, 5층 (신정동)",재가노인복지시설,052-227-0994
ONE재활노인복지센터,"울산광역시 남구 수암로 80, 4층 (신정동)",재가노인복지시설,052-700-8088
대현정주간보호센터,"울산광역시 남구 수암로 208, B동 101호 (야음동, 동광모닝스카이)",재가노인복지시설,052-274-6868
가족동행 재가복지센터,울산광역시 남구 중앙로204번길 28 (신정동),재가노인복지시설,052-266-3388
현주노인재가복지센터,울산광역시 남구 중앙로248번길 30 (신정동),재가노인복지시설,052-707-5999
백산사회적노인복지센터,울산광역시 남구 봉월로28번길 17-4 (신정동),재가노인복지시설,052-269-5956
정다운재가노인복지센터,"울산광역시 남구 팔등로 51, 201호 (신정동)",재가노인복지시설,052-922-2113
다경재가노인복지센터,"울산광역시 남구 번영로 177, 5층 (달동)",재가노인복지시설,052-257-1417
유앤미 재가지원센터,울산광역시 남구 봉월로59번길 26-20 (신정동),재가노인복지시설,052-273-1600
보배재가복지센터,울산광역시 남구 중앙로248번길 10-1 (신정동),재가노인복지시설,052-265-8001
아리아케어 방문요양 울산 삼산센터,"울산광역시 남구 번영로124번길 6, 402호 (달동)",재가노인복지시설,052-276-9500
부모사랑노인복지센터,"울산광역시 남구 신남로 8-13, 302호 (야음동)",재가노인복지시설,052-260-0711
정다운재가복지센터,"울산광역시 남구 야음본로 37-1, 1층 (야음동)",재가노인복지시설,052-227-5172
하란재가복지센터,"울산광역시 남구 번영로271번길 14-1, 1층 (신정동)",재가노인복지시설,052-265-1964
그랜드주간보호센터,"울산광역시 남구 번영로 267, 2층 (신정동)",재가노인복지시설,052-260-2768
와와재가노인복지센터,"울산광역시 남구 와와로 75, 1층 (무거동)",재가노인복지시설,052-247-3642
행운의료기,"울산광역시 남구 월평로171번길 26, 127-128호 (신정동, 신정 지웰)",재가노인복지시설,052-227-7002
정재가방문요양센터,"울산광역시 남구 수암로105번길 8-3, 1층 (신정동)",재가노인복지시설,052-295-1002
더편한노인복지센터,"울산광역시 남구 신선로184번길 25, 101호 (야음동, 오숀빌라)",재가노인복지시설,052-266-1964
행복의료기,"울산광역시 남구 돋질로 110, B동 6호 (달동)",재가노인복지시설,052-268-6119
가족실버케어,"울산광역시 남구 왕생로172번길 20, 2층 (삼산동)",재가노인복지시설,052-713-8088
제일노인복지센터,"울산광역시 남구 삼산로 87, 2층 208호 (달동, 삼환 아르누보)",재가노인복지시설,052-977-1227
가인홈케어,"울산광역시 남구 돋질로445번길 3, 2층 (삼산동)",재가노인복지시설,052-286-2804
호수방문요양센터,"울산광역시 남구 북부순환도로13번길 6-1, 2층 (무거동)",재가노인복지시설,052-225-3945
방문센터 더 돌봄,"울산광역시 남구 삼산로125번길 3, 202호 (달동)",재가노인복지시설,052-266-3345
지혜주간보호센터,"울산광역시 남구 북부순환도로 45, 201호 (무거동)",재가노인복지시설,052-222-8878
'(A)비지팅엔젤스 울산남구 방문요양지점,"울산광역시 남구 삼산로 50, 1층 110호 (신정동)",재가노인복지시설,052-268-9300
새마음정신문화센터,울산광역시 남구 달동 131111 로하스 빌딩 6층 ,정신재활시설,052-275-1116
울산광역시 남구 여자단기 청소년쉼터,울산광역시 남구 돋질로27번길 14 (신정동),청소년복지시설,052-269-1388
울산 남구 여자중장기 청소년쉼터,울산광역시 남구 꽃대나리로15번길 6 (달동),청소년복지시설,052-265-1388
울산남구통합상담소,"울산광역시 남구 문수로 313, 505호 (옥동, 삼성빌딩)",통합상담소,052-265-5570
